Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r137,"[0.2848995089888229, 9.043922994544713]","[1.96885498968133, 16.22186946421754]",Abandoned,4.844442588836638,,
r138,"[9.402416977910924, 1.5584320252349415]","[7.498755806607356, 10.806688597270298]",Abandoned,4.8514164948087135,,
r139,"[13.831164619103372, 10.192326485406566]","[6.814236196200969, 7.637428565199085]",Abandoned,4.874461735887129,,
r140,"[17.967259287368524, 7.2569784386667795]","[10.484426099985619, 6.635181663491565]",Completed,4.929921376593656,,
r141,"[12.562694483686078, 5.638689066089892]","[0.34423184908993765, 6.607662401879746]",Completed,4.954470129581898,,
r142,"[6.1803257611736555, 8.395922697478948]","[7.717693836702129, 19.465061188377057]",Completed,5.075267487533276,,
r143,"[15.848813490449523, 0.7044974378302293]","[13.260650798121327, 5.2767489725555805]",Completed,5.097941086237937,,
r144,"[15.90006959371442, 1.1457061105920219]","[6.280374962544537, 17.879738084923677]",Completed,5.146076552367959,,
r145,"[10.402367430792545, 7.208770634882211]","[2.109494359505013, 10.868755900009306]",Completed,5.162318276599078,,
r146,"[19.379343878372755, 10.640814693041289]","[0.5091341367748647, 8.211634865861619]",Abandoned,5.18122872427666,,
r147,"[2.457736131103585, 1.093224140691893]","[7.444081673124727, 3.595837319864914]",Abandoned,5.231382737140644,,
r148,"[2.755233756159916, 11.564337473914199]","[5.697444472396011, 10.918872745647835]",Abandoned,5.236199802123877,,
r149,"[6.471179129210494, 18.943825542822104]","[8.056792409947949, 1.6608672065571173]",Completed,5.261970519117661,,
r150,"[5.52318480897439, 15.818563552445507]","[0.6351334016416632, 13.968830314561773]",Abandoned,5.276181058330451,,
r151,"[11.554409464609389, 6.71794637823568]","[5.76658507995687, 11.19153773731939]",Abandoned,5.359950937717054,,
r152,"[9.6159067055956, 18.93048139911686]","[9.407790475874805, 17.01205795382387]",Abandoned,5.360414588270186,,
r153,"[3.139366137555315, 14.298991729121779]","[0.35002609368971704, 18.853548549852455]",Completed,5.514268508467434,,
r154,"[5.114156872687032, 8.755666017659498]","[9.17894130514435, 0.054275861989201424]",Completed,5.514918019676953,,
r155,"[14.244655855429663, 14.427050214411306]","[19.242671028703572, 13.41878699981184]",Completed,5.522404984241078,,
r156,"[18.089082821190562, 9.585796532066817]","[2.752191257169414, 3.890266886644349]",Abandoned,5.547683198124066,,
r157,"[17.501440469181354, 3.1223062044819305]","[8.324544261479724, 19.30908828481173]",Completed,5.572891248243604,,
r158,"[18.21585894053148, 7.264154493906297]","[8.390648461205165, 17.217507849859956]",Completed,5.699846232883688,,
r159,"[7.6471429600660334, 6.208671969126984]","[15.201695624813992, 8.801868367395029]",Abandoned,5.703843923747779,,
r160,"[1.6264828431349843, 18.948917760143182]","[4.6877266773900095, 3.684766441320171]",Abandoned,5.719095091156939,,
